sensor-id,humidity
S62,9
S02,7
S12,90
S32,99
S32,8
S42,9
S62,99
S42,9
S92,6
S62,86
S02,6
S22,100
S02,90
S52,100
S52,98
S32,99
S72,100
S42,89
S62,99
S42,7
S02,100
S92,90
S82,100
S82,100
S22,7
S72,90
S92,6
S22,9
S62,100
S02,69
S22,6
S42,99
S72,90
S52,99
S02,100
S52,90
S92,5
S72,84
S82,99
S22,90
S72,100
S02,8
S42,79
S62,9
S02,100
S62,95
S32,8
S92,8
S92,60
S92,100
S42,7
S32,100
S32,100
S72,100
S92,79
S12,100
S52,9
S62,9
S42,3
S82,90
S02,99
S22,90
S52,9
S12,99
S82,58
S72,8
S72,9
S02,90
S12,100
S52,97
S32,9
S82,99
S42,9
S82,90
S02,6
S72,39
S82,8
S12,90
S32,99
S52,90
S72,9
S42,99
S32,90
S12,100
S02,100
S32,9
S52,78
S02,59
S62,9
S62,9
S52,99
S42,5
S22,98
S62,90
S52,99
S22,80
S32,80
S32,69
S92,7
S32,67
S92,9
S92,60
S02,100
S62,90
S12,100
S52,8
S52,90
S62,100
S82,99
S92,9
S32,8
S82,100
S42,8
S02,90
S72,77
S32,90
S32,9
S02,97
S82,84
S12,99
S72,98
S52,8
S92,27
S32,90
S32,8
S22,7
S02,9
S32,69
S92,89
S32,100
S92,99
S52,6
S12,78
S92,6
S22,100
S02,7
S82,90
S72,80
S22,9
S92,99
S72,70
S52,89
S22,40
S02,8
S12,50
S72,9
S22,99
S32,9
S32,9
S32,100
